Cycle,Rank,Total,Pred
101,2.5,538487,0.4
1600,.16,538487,0.4
1600,.16,538487,0.4
17,.5,538487,0.4
17,.5,538487,0.4
1,1.0,538487,0.4
1,1.0,538487,0.4
17,3.0,538487,0.4
17,3.0,538487,0.4
17,3.0,538487,0.4
1,.25,538487,0.4
1,.25,538487,0.4
1,.25,538487,0.4
20,.25,538487,0.4
100,.25,538487,0.4
1200,.25,538487,0.4
1200,.5,538487,0.4
1200,.5,538487,0.4
324,.5,3628946,4.6
212,.5,3628946,4.6
213,.5,3628946,4.6
5500,.5,3628946,4.6
6000,1.0,3628946,4.6
12,1.0,3628946,4.6
3,1.0,3628946,4.6
14,1.0,3628946,4.6
15,.5,3628946,4.6
66,.5,3628946,4.6
1666,.25,3628946,4.6
154,.5,3628946,4.6
511,.5,3628946,4.6
568,.25,3628946,4.6
468,7.5,3628946,4.6
500,.25,3628946,4.6
500,.5,3628946,4.6
500,.5,3628946,4.6
