FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2621, fi_cycle=2852859, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=7, opcode=getelementptr
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2536, fi_cycle=358645, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=10, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4374, fi_cycle=964717, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=62, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2495, fi_cycle=23986, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=3, opcode=sext
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2649, fi_cycle=3484575, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=12, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4376, fi_cycle=961579, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=52, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2479, fi_cycle=22404, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=11, opcode=getelementptr
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4371, fi_cycle=1572819, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=39, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4386, fi_cycle=2487840, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=26, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4370, fi_cycle=2768968, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=7, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4365, fi_cycle=672962, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=8, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2612, fi_cycle=2593376, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3097, fi_cycle=3293584, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=22, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2358, fi_cycle=3411904, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=3, opcode=getelementptr
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4377, fi_cycle=955788, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=36, opcode=sub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1489, fi_cycle=2706252, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=19, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4386, fi_cycle=2173508, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=42, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2529, fi_cycle=2470363, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=5, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4367, fi_cycle=1566536, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=55, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3093, fi_cycle=3293556, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=7, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4367, fi_cycle=2484035, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=48, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3184, fi_cycle=1520002, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=4, opcode=add
