FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=17, fi_cycle=2823018, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=36, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=24, fi_cycle=1918060, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=33, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=43, fi_cycle=1618485, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=62, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3146, fi_cycle=909730, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=38, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1480, fi_cycle=291298, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=25, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=42, fi_cycle=1909264, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=38, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=25, fi_cycle=703991, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=36, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=45, fi_cycle=3116314, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=39, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=46, fi_cycle=1596036, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=42, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=28, fi_cycle=409142, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=40, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2638, fi_cycle=753186, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=33, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=6, fi_cycle=3116278, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=60, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3148, fi_cycle=3328633, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=33, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2542, fi_cycle=665358, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=36, opcode=call
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2542, fi_cycle=2779572, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=32, opcode=call
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3169, fi_cycle=2726637, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=38, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2662, fi_cycle=3548836, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=15, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1480, fi_cycle=1463340, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=31, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4389, fi_cycle=358032, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=22, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3169, fi_cycle=913404, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=38, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2469, fi_cycle=32689, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=34, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=45, fi_cycle=2504043, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=30, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=28, fi_cycle=976337, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=38, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=50, fi_cycle=2500846, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=40, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2622, fi_cycle=1353471, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=32, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2659, fi_cycle=169942, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=40, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=26, fi_cycle=3095394, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=31, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1386, fi_cycle=1145939, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=30, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3149, fi_cycle=3026920, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=40, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2662, fi_cycle=185899, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=15, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=50, fi_cycle=3395158, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=32, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2610, fi_cycle=3144713, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=1, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3148, fi_cycle=3025181, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=23, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=13, fi_cycle=1609633, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=42, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1470, fi_cycle=2706801, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=28, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=17, fi_cycle=2181568, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=27, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2636, fi_cycle=525859, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=32, opcode=fmul
